Date	                CLOSE
2022-01-05 09:00:00	
2022-01-05 09:03:00	75.2
2022-01-05 09:04:00	75.18
2022-01-05 09:05:00	75.06
2022-01-05 09:06:00	
2022-01-05 09:08:00	
2022-01-05 09:09:00	75.2
2022-01-05 09:10:00	
2022-01-05 09:11:00	75.16
2022-01-05 09:13:00	75.23
2022-01-05 09:14:00	
2022-01-05 09:15:00	75.23
2022-01-05 09:16:00	75.28
2022-01-05 09:17:00	75.3
2022-01-05 09:18:00	75.26
2022-01-05 09:19:00	75.23
2022-01-05 09:20:00	75.2
2022-01-05 09:21:00	75.28
2022-01-05 09:22:00	75.28
2022-01-05 09:23:00	75.3
2022-01-05 09:24:00	75.29
2022-01-05 09:25:00	75.26
2022-01-05 09:26:00	75.22
2022-01-05 09:27:00	
2022-01-05 09:28:00	
2022-01-05 09:29:00	75.33
2022-01-05 09:30:00	
2022-01-05 09:31:00	
2022-01-05 09:32:00	75.24
2022-01-05 09:33:00	75.2
2022-01-05 09:34:00	75.24
2022-01-05 09:35:00	75.19
2022-01-05 09:36:00	75.12
2022-01-05 09:37:00	
2022-01-05 09:38:00	75.06
2022-01-05 09:39:00	75.08
2022-01-05 09:40:00	75.12
2022-01-05 09:41:00	75.1
2022-01-05 09:42:00	
2022-01-05 09:43:00	
2022-01-05 09:44:00	75.16
2022-01-05 09:45:00	
2022-01-05 09:46:00	
2022-01-05 09:47:00	75.25
2022-01-05 09:49:00	75.26
2022-01-05 09:50:00	75.27
2022-01-05 09:51:00	75.24
2022-01-05 09:52:00	75.26
2022-01-05 09:53:00	75.29
2022-01-05 09:54:00	
2022-01-05 09:55:00	75.26
2022-01-05 09:56:00	75.28
2022-01-05 09:57:00	75.34
2022-01-05 09:58:00	75.36
2022-01-05 09:59:00	75.36
2022-01-05 10:00:00	75.39
2022-01-05 10:01:00	75.36
2022-01-05 10:02:00	75.38
2022-01-05 10:03:00	75.41
2022-01-05 10:04:00	75.39
2022-01-05 10:05:00	
2022-01-05 10:06:00	75.39
2022-01-05 10:07:00	75.36
2022-01-05 10:08:00	75.37
2022-01-05 10:10:00	75.39
2022-01-05 10:11:00	75.36
2022-01-05 10:13:00	
2022-01-05 10:14:00	75.27
2022-01-05 10:16:00	
2022-01-05 10:18:00	
2022-01-05 10:19:00	
2022-01-05 10:21:00	
2022-01-05 10:22:00	75.27
2022-01-05 10:23:00	
2022-01-05 10:24:00	75.28
2022-01-05 10:25:00	75.3
2022-01-05 10:26:00	
2022-01-05 10:28:00	
2022-01-05 10:29:00	75.31
2022-01-05 10:30:00	75.35
2022-01-05 10:31:00	75.32
2022-01-05 10:32:00	75.34
2022-01-05 10:33:00	75.31
2022-01-05 10:34:00	75.3
2022-01-05 10:35:00	
2022-01-05 10:36:00	
2022-01-05 10:37:00	
2022-01-05 10:38:00	75.33
2022-01-05 10:39:00	75.26
2022-01-05 10:40:00	75.28
2022-01-05 10:41:00	75.27
2022-01-05 10:42:00	
2022-01-05 10:43:00	75.3
2022-01-05 10:44:00	75.29
2022-01-05 10:46:00	75.3
2022-01-05 10:47:00	75.32
2022-01-05 10:48:00	75.33
2022-01-05 10:49:00	75.31
2022-01-05 10:50:00	
2022-01-05 10:51:00	75.35
2022-01-05 10:52:00	
2022-01-05 10:53:00	75.33
2022-01-05 10:54:00	75.36
2022-01-05 10:55:00	
2022-01-05 10:56:00	
2022-01-05 10:57:00	
2022-01-05 10:58:00	75.36
2022-01-05 10:59:00	75.4
2022-01-05 11:00:00	75.39
2022-01-05 11:02:00	75.38
2022-01-05 11:03:00	75.4
2022-01-05 11:04:00	75.33
2022-01-05 11:05:00	75.33
2022-01-05 11:06:00	
2022-01-05 11:08:00	
2022-01-05 11:09:00	75.33
2022-01-05 11:10:00	75.36
2022-01-05 11:11:00	
2022-01-05 11:13:00	
2022-01-05 11:14:00	
2022-01-05 11:15:00	
2022-01-05 11:16:00	75.35
2022-01-05 11:17:00	75.32
2022-01-05 11:18:00	
2022-01-05 11:19:00	75.32
2022-01-05 11:20:00	
2022-01-05 11:21:00	75.3
2022-01-05 11:22:00	75.27
2022-01-05 11:23:00	75.28
2022-01-05 11:25:00	
2022-01-05 11:26:00	75.25
2022-01-05 11:28:00	75.28
2022-01-05 11:29:00	75.3
2022-01-05 11:30:00	75.3
2022-01-05 11:33:00	
2022-01-05 11:36:00	75.34
2022-01-05 11:37:00	75.32
2022-01-05 11:38:00	75.34
2022-01-05 11:39:00	75.36
2022-01-05 11:40:00	75.37
2022-01-05 11:41:00	
2022-01-05 11:43:00	75.39
2022-01-05 11:44:00	75.35
2022-01-05 11:45:00	
2022-01-05 11:46:00	
2022-01-05 11:47:00	
2022-01-05 11:48:00	
2022-01-05 11:49:00	
2022-01-05 11:50:00	75.31
2022-01-05 11:51:00	75.3
2022-01-05 11:52:00	75.28
2022-01-05 11:53:00	
2022-01-05 11:54:00	
2022-01-05 11:55:00	75.33
2022-01-05 11:56:00	
2022-01-05 11:57:00	
2022-01-05 11:58:00	
2022-01-05 11:59:00	
2022-01-05 12:00:00	75.43
2022-01-05 12:01:00	75.46
2022-01-05 12:02:00	75.51
2022-01-05 12:04:00	75.58
2022-01-05 12:05:00	75.55
2022-01-05 12:06:00	75.56
2022-01-05 12:07:00	75.65
2022-01-05 12:08:00	75.67
2022-01-05 12:09:00	75.65
2022-01-05 12:10:00	75.68
2022-01-05 12:11:00	
2022-01-05 12:12:00	75.66
2022-01-05 12:13:00	75.67
2022-01-05 12:14:00	75.71
2022-01-05 12:15:00	75.71
2022-01-05 12:17:00	75.68
2022-01-05 12:18:00	75.66
2022-01-05 12:19:00	75.71
2022-01-05 12:20:00	75.68
2022-01-05 12:21:00	75.69
2022-01-05 12:22:00	75.7
2022-01-05 12:23:00	75.67
2022-01-05 12:24:00	75.68
2022-01-05 12:25:00	75.68
2022-01-05 12:26:00	75.66
2022-01-05 12:27:00	75.63
2022-01-05 12:28:00	75.63
2022-01-05 12:29:00	75.67
2022-01-05 12:30:00	75.62
2022-01-05 12:31:00	75.65
2022-01-05 12:32:00	75.67
2022-01-05 12:33:00	75.67
2022-01-05 12:34:00	75.66
2022-01-05 12:35:00	75.65
2022-01-05 12:36:00	75.65
2022-01-05 12:37:00	75.65
2022-01-05 12:38:00	75.65
2022-01-05 12:39:00	75.65
2022-01-05 12:40:00	75.62
2022-01-05 12:41:00	75.63
2022-01-05 12:42:00	
2022-01-05 12:43:00	75.67
2022-01-05 12:45:00	
2022-01-05 12:46:00	75.67
2022-01-05 12:47:00	75.64
2022-01-05 12:48:00	75.62
2022-01-05 12:49:00	75.63
2022-01-05 12:50:00	75.63
2022-01-05 12:51:00	75.65
2022-01-05 12:52:00	75.67
2022-01-05 12:53:00	75.65
2022-01-05 12:54:00	75.65
2022-01-05 12:55:00	75.64
2022-01-05 12:56:00	75.64
2022-01-05 12:57:00	75.63
2022-01-05 12:59:00	
2022-01-05 13:00:00	
2022-01-05 13:01:00	75.69
2022-01-05 13:02:00	75.68
2022-01-05 13:03:00	75.68
2022-01-05 13:04:00	75.72
2022-01-05 13:05:00	75.7
2022-01-05 13:06:00	75.7
2022-01-05 13:07:00	75.71
2022-01-05 13:08:00	75.72
2022-01-05 13:09:00	75.74
2022-01-05 13:10:00	75.77
2022-01-05 13:11:00	75.74
2022-01-05 13:12:00	75.75
2022-01-05 13:13:00	75.73
2022-01-05 13:15:00	75.84
2022-01-05 13:16:00	75.89
2022-01-05 13:17:00	75.89
2022-01-05 13:18:00	75.82
2022-01-05 13:19:00	
2022-01-05 13:20:00	
2022-01-05 13:21:00	75.85
2022-01-05 13:22:00	75.79
2022-01-05 13:23:00	75.84
2022-01-05 13:24:00	75.87
2022-01-05 13:25:00	75.89
2022-01-05 13:26:00	75.89
2022-01-05 13:27:00	75.9
2022-01-05 13:28:00	75.91
2022-01-05 13:29:00	75.9
2022-01-05 13:30:00	75.89
2022-01-05 13:31:00	75.9
2022-01-05 13:32:00	75.86
2022-01-05 13:33:00	75.83
2022-01-05 13:34:00	75.86
2022-01-05 13:35:00	75.84
2022-01-05 13:36:00	75.83
2022-01-05 13:37:00	75.81
2022-01-05 13:38:00	75.81
2022-01-05 13:39:00	75.83
2022-01-05 13:40:00	75.85
2022-01-05 13:41:00	75.9
2022-01-05 13:42:00	75.91
2022-01-05 13:43:00	75.9
2022-01-05 13:44:00	75.9
2022-01-05 13:45:00	75.91
2022-01-05 13:46:00	75.91
2022-01-05 13:47:00	75.92
2022-01-05 13:48:00	75.92
2022-01-05 13:49:00	
2022-01-05 13:50:00	75.92
2022-01-05 13:51:00	75.93
2022-01-05 13:52:00	
2022-01-05 13:53:00	75.95
2022-01-05 13:54:00	75.95
2022-01-05 13:55:00	75.97
2022-01-05 13:56:00	76.05
2022-01-05 13:57:00	76.09
2022-01-05 13:58:00	76.02
2022-01-05 13:59:00	76.06
2022-01-05 14:00:00	76.05
2022-01-05 14:01:00	76.05
2022-01-05 14:02:00	75.95
2022-01-05 14:03:00	75.9
2022-01-05 14:04:00	75.85
2022-01-05 14:05:00	75.84
2022-01-05 14:06:00	75.8
2022-01-05 14:07:00	75.76
2022-01-05 14:08:00	75.78
2022-01-05 14:09:00	75.76
2022-01-05 14:10:00	75.76
2022-01-05 14:11:00	75.77
2022-01-05 14:12:00	75.72
2022-01-05 14:13:00	75.89
2022-01-05 14:14:00	75.89
2022-01-05 14:15:00	75.86
2022-01-05 14:16:00	75.87
2022-01-05 14:17:00	75.85
2022-01-05 14:18:00	75.85
2022-01-05 14:19:00	75.84
2022-01-05 14:20:00	75.9
2022-01-05 14:21:00	75.9
2022-01-05 14:22:00	75.91
2022-01-05 14:23:00	75.88
2022-01-05 14:24:00	
2022-01-05 14:25:00	75.83
2022-01-05 14:26:00	75.93
2022-01-05 14:27:00	76.09
2022-01-05 14:28:00	76.02
2022-01-05 14:29:00	76.04
2022-01-05 14:30:00	76.02
2022-01-05 14:31:00	76.04
2022-01-05 14:32:00	76.02
2022-01-05 14:33:00	76.03
2022-01-05 14:34:00	75.99
2022-01-05 14:35:00	
2022-01-05 14:36:00	76.01
2022-01-05 14:37:00	76.09
2022-01-05 14:38:00	75.96
2022-01-05 14:39:00	75.97
2022-01-05 14:40:00	76.04
2022-01-05 14:41:00	76.09
2022-01-05 14:42:00	76.06
2022-01-05 14:43:00	76.0
2022-01-05 14:44:00	76.07
2022-01-05 14:45:00	76.11
2022-01-05 14:46:00	76.1
